"","Style","Price","Rating","Size","Season","NeckLine","SleeveLength","waiseline","Material","FabricType","Decoration","Pattern Type","Recommendation"
"1","Brief","Average",4.6,"L","Spring","o-neck","full","natural","silk","chiffon","embroidery","print",1
"2","cute","Low",4.5,"M","Summer","o-neck","butterfly","natural","chiffonfabric","chiffon","bow","dot",0
"3","Flare","Average",0,"free","Spring","v-neck","short","empire","cotton","broadcloth","beading","solid",1
"4","party","Average",5,"free","Summer","o-neck","full","natural","polyster","broadcloth","lace","solid",0
"5","cute","Low",4.3,"free","Autumn","o-neck","sleeveless","natural","polyster","chiffon","sashes","striped",0
"6","cute","Low",4.7,"M","Spring","ruffled","short","empire","chiffonfabric","chiffon","bow","dot",1
"7","Casual","Average",4.6,"L","Autumn","o-neck","sleeveless","empire","polyster","chiffon","ruffles","solid",0
"8","Casual","Low",0,"M","Spring","o-neck","sleeveless","natural","silk","chiffon","applique","solid",1
"9","Casual","Average",4.4,"L","Autumn","o-neck","sleeveless","natural","linen","chiffon","ruffles","animal",0
"10","Brief","Average",5,"free","Spring","v-neck","sleeveless","natural","cotton","broadcloth","lace","solid",1
"11","Brief","Low",4.4,"L","Autumn","o-neck","halfsleeve","natural","rayon","chiffon","sashes","solid",0
"12","Casual","Average",4.8,"M","Winter","o-neck","short","natural","lycra","broadcloth","applique","patchwork",0
"13","Casual","Average",0,"M","Summer","o-neck","halfsleeve","natural","cotton","chiffon","ruffles","dot",1
"14","Casual","Average",0,"L","Spring","o-neck","halfsleeve","natural","polyster","chiffon","hollowout","solid",1
"15","Casual","Average",4.6,"free","Autumn","o-neck","sleeveless","natural","polyster","chiffon","sashes","solid",1
"16","Casual","Average",5,"M","Autumn","v-neck","short","natural","cotton","broadcloth","beading","solid",0
"17","Casual","Low",0,"free","Summer","v-neck","halfsleeve","natural","silk","broadcloth","applique","solid",0
"18","Sexy","Low",0,"M","Spring","v-neck","short","natural","polyster","satin","ruffles","solid",1
"19","Casual","Low",4.8,"free","Spring","o-neck","full","natural","cotton","worsted","lace","solid",0
"20","Casual","Low",5,"M","Summer","v-neck","sleeveless","empire","polyster","chiffon","ruffles","animal",0
"21","party","Average",4.7,"M","Spring","v-neck","sleeveless","natural","polyster","chiffon","hollowout","solid",0
"22","Casual","Average",0,"free","Winter","o-neck","halfsleeve","empire","polyster","chiffon","hollowout","solid",0
"23","Casual","Medium",0,"M","Spring","v-neck","threequarter","natural","silk","chiffon","ruffles","solid",1
"24","Sexy","Low",4.8,"L","Summer","v-neck","full","natural","cotton","jersey","applique","print",1
"25","cute","Low",4.7,"M","Spring","o-neck","short","empire","polyster","chiffon","ruffles","dot",1
"26","Casual","Medium",0,"free","Spring","o-neck","sleeveless","natural","cotton","broadcloth","sequin","solid",1
"27","Casual","Low",4.5,"free","Autumn","v-neck","short","natural","silk","worsted","lace","solid",0
"28","Sexy","Average",3.6,"L","Winter","v-neck","full","natural","polyster","woolen","beading","solid",1
"29","work","Average",4.8,"L","Winter","v-neck","short","natural","mix","broadcloth","lace","solid",0
"30","cute","Low",4.9,"M","Autumn","o-neck","short","natural","chiffonfabric","chiffon","bow","dot",0
"31","Sexy","Low",4.6,"free","Summer","v-neck","sleeveless","natural","cotton","broadcloth","beading","solid",0
"32","cute","High",0,"M","Winter","o-neck","threequarter","empire","silk","chiffon","lace","patchwork",0
"33","cute","Low",4.7,"XL","Summer","o-neck","short","empire","chiffonfabric","chiffon","bow","print",0
"34","cute","Low",4.5,"L","Summer","o-neck","sleeveless","natural","cotton","chiffon","sashes","solid",1
"35","vintage","Average",0,"S","Spring","o-neck","full","natural","mix","chiffon","embroidery","print",0
"36","Casual","Average",0,"L","Winter","open","short","natural","mix","poplin","applique","solid",1
"37","Casual","Low",4.5,"free","Winter","o-neck","full","natural","mix","worsted","applique","solid",0
"38","Casual","Low",4.8,"XL","Summer","o-neck","short","empire","mix","chiffon","sashes","geometric",0
"39","Sexy","Medium",4.6,"L","Summer","o-neck","short","natural","spandex","jersey","lace","solid",0
"40","cute","Low",5,"L","Winter","o-neck","threequarter","natural","silk","chiffon","sashes","print",0
"41","Brief","Average",4.3,"M","Spring","o-neck","full","natural","mix","worsted","sequin","patchwork",1
"42","cute","Low",0,"free","Summer","peterpan-collor","short","empire","cotton","broadcloth","applique","print",0
"43","Casual","Medium",4.8,"M","Winter","peterpan-collor","short","natural","polyster","chiffon","lace","patchwork",0
"44","Sexy","Low",4.3,"free","Winter","v-neck","sleeveless","natural","silk","worsted","lace","solid",1
"45","cute","Medium",4.8,"free","Spring","slash-neck","sleeveless","natural","polyster","chiffon","sashes","solid",1
"46","Casual","Low",4.6,"free","Summer","o-neck","full","natural","cotton","worsted","lace","solid",1
"47","cute","Average",0,"M","Winter","o-neck","short","natural","polyster","chiffon","sashes","solid",0
"48","Casual","Average",4.7,"L","Summer","o-neck","sleeveless","natural","silk","chiffon","beading","solid",0
"49","Casual","Average",4.7,"M","Winter","v-neck","sleeveless","empire","polyster","chiffon","applique","print",0
"50","Casual","Average",0,"M","Winter","o-neck","full","natural","cotton","jersey","feathers","solid",1
"51","party","Average",4.7,"free","Spring","Sweetheart","sleeveless","empire","rayon","chiffon","beading","solid",1
"52","cute","Average",4.4,"free","Spring","Sweetheart","sleeveless","empire","spandex","tulle","ruched","solid",1
"53","Casual","Average",4.2,"S","Winter","v-neck","sleeveless","empire","other","chiffon","hollowout","patchwork",0
"54","Novelty","Average",0,"free","Summer","o-neck","full","natural","cotton","satin","hollowout","solid",0
"55","Novelty","Medium",4.2,"M","Winter","o-neck","halfsleeve","natural","polyster","chiffon","hollowout","animal",1
"56","bohemian","Low",5,"free","Spring","o-neck","short","natural","nylon","jersey","sashes","print",1
"57","Casual","Low",5,"free","Spring","bowneck","sleeveless","natural","silk","chiffon","applique","print",0
"58","Sexy","Low",4.8,"free","Spring","slash-neck","sleeveless","natural","cotton","broadcloth","sequin","solid",0
"59","Casual","Average",4.5,"M","Winter","o-neck","sleeveless","natural","polyster","chiffon","ruched","striped",0
"60","work","Average",4.9,"M","Winter","slash-neck","short","natural","polyster","broadcloth","ruffles","solid",0
"61","Casual","Low",4.7,"free","Spring","o-neck","halfsleeve","natural","silk","chiffon","sashes","print",0
"62","Casual","Average",4.8,"M","Spring","o-neck","sleeveless","natural","cotton","chiffon","hollowout","print",0
"63","Casual","Low",4.7,"L","Summer","o-neck","sleeveless","natural","silk","worsted","lace","patchwork",0
"64","vintage","Low",4,"free","Summer","turndowncollor","short","natural","cotton","woolen","hollowout","solid",0
"65","bohemian","Low",5,"free","Summer","o-neck","sleeveless","empire","cotton","broadcloth","tassel","print",1
"66","Sexy","Average",4.8,"S","Winter","v-neck","sleeveless","empire","polyster","chiffon","lace","solid",0
"67","Casual","Average",4.8,"free","Summer","o-neck","sleeveless","natural","cotton","chiffon","sashes","solid",0
"68","Casual","Low",4,"free","Summer","v-neck","sleeveless","natural","cotton","broadcloth","hollowout","print",0
"69","Casual","Average",4.5,"L","Summer","o-neck","short","natural","cotton","jersey","pockets","solid",0
"70","cute","Average",4.6,"M","Autumn","o-neck","threequarter","natural","silk","chiffon","sashes","print",0
"71","bohemian","Average",4,"free","Winter","o-neck","sleeveless","natural","polyster","chiffon","ruffles","striped",0
"72","Casual","Average",0,"XL","Winter","v-neck","short","empire","polyster","chiffon","pockets","solid",1
"73","Casual","Low",5,"free","Summer","o-neck","sleeveless","natural","modal","jersey","plain","solid",1
"74","Casual","Low",4.7,"L","Summer","o-neck","full","natural","mix","worsted","lace","patchwork",1
