,sales
1,109.6046339
2,142.054402
3,666.4995883
4,88.45888174
5,742.0593289
6,83.73259117
7,94.81548141
8,90.17980176
9,690.095123
10,710.5972152
11,112.3547083
12,3410.868225
13,87.35106345
14,133.5759706
15,685.4425308
16,95.51108675
17,97.49523147
18,117.8166577
19,98.1608899
20,99.05914571
21,82.95848803
22,686.7307021
23,690.390697
24,683.1523903
25,113.2874048
26,666.8642893
27,107.6639465
28,61.58875441
29,92.47559683
30,86.79300239
31,83.69763048
32,98.57758055
33,52.14101436
34,3776.998918
35,58.37568909
36,88.41173996
37,663.3210193
38,691.194003
39,152.1791636
40,100.4348905
41,67.84248674
42,644.4878682
43,111.2546775
44,99.53600418
45,92.04829064
46,76.76594631
47,62.81349225
48,660.5443796
49,742.2946126
50,84.46833263
51,653.1991592
52,146.7322656
53,715.571206
54,94.03382248
55,721.8891636
56,3655.149287
57,84.51892379
58,760.0653837
59,93.62432425
60,64.38763374
61,96.39000995
62,105.1884585
63,157.69946
64,722.9115386
65,730.4640313
66,98.07117662
67,91.64997894
68,695.1609557
69,119.6909901
70,151.8811252
71,125.684811
72,130.19771
