Number,x1,x2,x3,x4,x5,¯x,R,,,,,,,,
1,138.1,110.8,138.7,137.4,125.4,130.1,27.9,12.10194199,64,372.49,73.96,53.29,22.09,146.4575,12.10196265
2,149.3,142.1,105,134,92.3,124.5,57,24.65832517,,,,,,,
3,115.9,135.6,124.2,155,117.4,129.6,39.1,16.17751526,,,,,,,
4,118.5,116.5,130.2,122.6,100.2,117.6,30,11.05147049,,,,,,,
5,108.2,123.8,117.1,142.4,150.9,128.5,42.7,17.74195592,,0.998650102,,,,,
6,102.8,112,135,135,145.8,126.1,43,17.94580731,,0.001349898,,,,,
7,120.4,84.3,112.8,118.5,119.3,111,36.1,15.24476959,,0.002699796,,,,,
8,132.7,151.1,124,123.9,105.1,127.4,46,16.66487324,,,,,,,
9,136.4,126.2,154.7,127.1,173.2,143.5,46.9,20.16301069,,k,5,5,,,
10,135,115.4,149.1,138.3,130.4,133.6,33.7,12.30621794,,n,5,5,,,
11,139.6,127.9,151.1,143.7,110.5,134.6,40.6,15.85679665,,L,3,3,,,
12,125.3,160.2,130.4,152.4,165.1,146.7,39.8,17.86720459,,,-8.180339887,-14.18033989,,,
13,145.7,101.8,149.5,113.3,151.8,132.4,50,23.16693765,,,0.996686211,0.000510093,,,
14,138.6,139,131.9,140.2,141.1,138.1,9.2,3.636344318,,Beta,0.996176119,,,,
15,110.1,114.6,165.1,113.8,139.6,128.7,54.8,23.50814752,,Power,0.003823881,,,,
16,145.2,101,154.6,120.2,117.3,127.6,53.3,21.83547572,,ARL1,261.5143877,1.00383856,,,
17,125.9,135.3,121.5,147.9,105,127.1,42.9,15.9772338,,,,,,,
18,129.7,97.3,130.5,109,150.5,123.4,53.2,20.69468531,,,,,,,
19,123.4,150,161.6,148.4,154.2,147.5,38.3,14.41846039,,,,,,,
20,144.8,138.3,119.6,151.8,142.7,139.4,32.2,12.114578,16.65658758,Sbar,,,,,
21,131.5,143.1,118.5,103.2,121.6,123.6,39.8,,,,,,,,
22,111,127.3,110.4,91,143.9,116.7,52.8,,,,,,,,
23,129.8,98.3,134,105.1,133.1,120.1,35.7,,,,,,,,
24,145.2,132.8,106.1,131,99.2,122.8,46,,,,,,,,
25,114.6,111,108.8,177.5,121.6,126.7,68.7,,,,,,,,
26,125.2,86.4,64.4,137.1,117.5,106.1,72.6,,,,,,,,
27,145.9,109.5,84.9,129.8,110.6,116.1,61,,,,,,,,
28,123.6,114,135.4,83.2,107.6,112.8,52.2,,,,,,,,
29,85.8,156.3,119.7,96.2,153,122.2,70.6,,,,,,,,
30,107.4,148.7,127.4,125,127.5,127.2,41.3,,,,,,,,
