"","Style","Price","Rating","Size","Season","NeckLine","SleeveLength","waiseline","Material","FabricType","Decoration","Pattern Type","Recommendation"
"1","Sexy","Low",4.6,"M","Summer","o-neck","sleeveless","empire","cotton","chiffon","ruffles","animal","1"
"2","Casual","Low",0,"L","Summer","o-neck","Petal","natural","microfiber","dobby","ruffles","animal","0"
"3","vintage","High",0,"L","Autumn","o-neck","full","natural","polyster","chiffon","applique","print","0"
"4","Brief","Average",4.6,"L","Spring","o-neck","full","natural","silk","chiffon","embroidary","print","1"
"5","cute","Low",4.5,"M","Summer","o-neck","butterfly","natural","chiffonfabric","chiffon","bow","dot","0"
"6","bohemian","Low",0,"M","Summer","v-neck","sleeveless","empire","cotton","batik","tassel","print","0"
"7","Casual","Average",0,"XL","Summer","o-neck","full","natural","cotton","jersey","pockets","solid","0"
"8","Novelty","Average",0,"free","Autumn","o-neck","short","natural","polyster","broadcloth","lace","solid","0"
"9","Flare","Average",0,"free","Spring","v-neck","short","empire","cotton","broadcloth","beading","solid","1"
"10","bohemian","Low",0,"free","Summer","v-neck","sleeveless","natural","nylon","chiffon","none","print","1"
"11","party","Average",5,"free","Summer","o-neck","full","natural","polyster","broadcloth","lace","solid","0"
"12","Flare","Average",0,"free","Spring","v-neck","short","natural","nylon","broadcloth","beading","animal","0"
"13","Sexy","Low",4.7,"M","Winter","o-neck","threequarter","natural","polyster","chiffon","lace","print","1"
"14","vintage","Average",4.8,"M","Summer","o-neck","short","empire","cotton","jersey","pockets","animal","1"
"15","Casual","Low",5,"M","Summer","boat-neck","short","natural","cotton","jersey","sashes","solid","0"
"16","Casual","Low",0,"free","Winter","boat-neck","full","natural","other","other","lace","solid","0"
"17","cute","Average",4.7,"L","Spring","o-neck","short","natural","cotton","chiffon","sashes","solid","1"
"18","bohemian","Medium",5,"free","Autumn","o-neck","full","natural","rayon","chiffon","hollowout","patchwork","1"
"19","Brief","Average",0,"M","Winter","peterpan-collor","threequarter","natural","cotton","chiffon","sashes","patchwork","0"
"20","Sexy","Average",5,"M","Autumn","o-neck","sleeveless","empire","milksilk","chiffon","rivet","solid","1"
"21","Sexy","Average",4.5,"L","Autumn","o-neck","full","natural","cotton","woolen","beading","solid","0"
"22","Casual","Low",4.3,"M","Summer","o-neck","sleeveless","natural","chiffonfabric","chiffon","bow","solid","0"
"23","Brief","Low",4,"XL","Summer","v-neck","short","natural","cotton","jersey","pockets","solid","0"
"24","Sexy","Average",4.7,"S","Summer","v-neck","sleeveless","empire","cotton","chiffon","sequined","solid","1"
"25","Sexy","Average",0,"free","Autumn","v-neck","sleeveless","natural","polyster","worsted","lace","patchwork","0"
"26","Sexy","Average",0,"M","Autumn","o-neck","sleeveless","empire","cotton","broadcloth","applique","print","0"
"27","Sexy","Average",4.7,"M","Spring","o-neck","sleeveless","natural","cotton","chiffon","sashes","solid","1"
"28","Casual","Low",0,"L","Summer","o-neck","sleeveless","natural","cotton","jersey","pockets","print","0"
"29","cute","Low",4.3,"free","Autumn","o-neck","sleeveless","natural","polyster","chiffon","sashes","striped","0"
"30","cute","Low",4.7,"M","Spring","ruffled","short","empire","chiffonfabric","chiffon","bow","dot","1"
"31","Casual","Average",4.6,"L","Autumn","o-neck","sleeveless","empire","polyster","chiffon","ruffles","solid","0"
"32","Casual","Low",0,"M","Spring","o-neck","sleeveless","natural","silk","chiffon","applique","solid","1"
